seconds,protein_tokens,ligand_atoms
0.07302449999951932,292,23
0.0723082999993494,292,30
0.07594849999986764,292,43
0.07231500000125379,292,18
0.06917319999956817,292,18
0.07046269999955257,292,22
0.072537399999419,297,11
0.08091149999927438,311,27
0.07734259999961068,311,24
0.08392989999993006,322,24
0.07998289999886765,326,32
0.08036429999992833,326,23
0.09051790000012261,337,39
0.08570349999899918,344,22
0.08307009999953152,344,26
0.08939470000041183,346,29
0.0875503999995999,346,21
0.08649230000082753,346,24
0.0884014000002935,351,20
0.084972700000435,351,11
0.08998729999984789,351,32
0.08374240000011923,351,24
0.09337840000080178,351,31
0.08973409999998694,351,31
0.0887323999995715,351,23
0.10201440000128059,358,24
0.08939539999846602,358,22
0.08961420000014186,360,29
0.08934970000154863,360,27
0.09493699999984528,364,29
0.08883459999924526,365,29
0.09079729999939445,365,23
0.09904209999876912,367,38
0.10089669999979378,367,38
0.09879579999869748,370,27
0.09430930000053195,370,30
0.10114480000083859,382,36
0.10013339999932214,393,36
0.09526180000102613,393,32
0.09240279999903578,393,21
0.10112909999952535,400,18
0.09953669999958947,400,26
0.09774339999967196,400,17
0.10123949999979232,400,34
0.09944550000000163,403,22
0.09880939999857219,403,20
0.09923340000023018,403,31
0.0976637000003393,404,23
0.09905860000071698,404,22
0.10310159999971802,414,22
0.1044478000003437,415,34
0.10390460000053281,415,27
0.1005351999992854,415,31
0.10031849999904807,420,30
0.1005550999998377,420,29
0.10281399999985297,422,26
0.09308429999873624,422,24
0.10428309999952035,424,22
0.10771509999904083,427,25
0.1039005000002362,427,19
0.1056494999993447,427,19
0.11154329999953916,427,26
0.1040856999989046,427,29
0.11462240000037127,431,32
0.11176770000020042,445,19
0.10668760000044131,445,25
0.10388570000031905,451,23
0.11240800000086892,460,34
0.11330119999911403,464,26
0.11750509999910719,465,37
0.11711429999922984,473,28
0.11822770000071614,476,17
0.11809969999922032,476,23
0.12148080000042683,476,40
0.11059479999858013,476,16
0.115328199999567,478,41
0.11567049999939627,479,35
0.11626749999959429,480,33
0.11736430000019027,480,34
0.11433729999953357,480,30
0.1349740000005113,481,15
0.13314090000130818,481,26
0.1375355000000127,481,31
0.10474919999978738,483,26
0.11164710000048217,483,18
0.11191089999920223,483,30
0.11657310000009602,491,23
0.12204689999998664,499,38
0.12165989999994054,499,28
0.11735159999989264,499,18
0.12013549999937823,505,26
0.11938300000110758,505,21
0.12805549999939103,507,34
0.12376599999879545,507,38
0.12589520000074117,509,35
0.12066289999893343,509,27
0.1234323000007862,509,35
0.12196220000078029,512,29
0.11844680000103835,512,34
0.1272177000009833,520,27
0.12482300000010582,525,25
0.12600840000050084,525,30
0.12901310000052035,525,25
0.12569079999957466,526,24
0.1249521999998251,526,23
0.1314462000009371,536,25
0.12952349999977741,536,33
0.12405310000031022,536,21
0.1276913000001514,537,29
0.13448369999969145,543,29
0.1296654000016133,545,35
0.12490900000011607,545,39
0.135483000000022,556,26
0.12925189999987197,556,21
0.125189299998965,558,34
0.12685939999937546,558,29
0.13394810000136204,559,26
0.12848549999944225,559,29
0.1303996000006009,559,40
0.1388427000001684,574,30
0.13928169999962847,574,35
0.14378469999974186,590,21
0.14354379999895173,591,32
0.15061679999962507,603,27
0.1590293000008387,603,38
0.14858210000056715,603,30
0.15468200000032084,603,35
0.15645020000010845,616,23
0.15704719999848749,620,29
0.1536394000013388,629,13
0.16490340000018477,647,28
0.15858710000065912,651,29
0.16358190000028117,655,31
0.16182060000028287,655,25
0.15093090000118536,666,30
0.15163730000131181,666,32
0.14872600000126113,666,27
0.1704260999995313,671,28
0.17325530000016443,671,26
0.17813919999935024,671,47
0.17163719999916793,672,22
0.1652003999988665,676,21
0.16891120000036608,676,41
0.17851909999990312,676,58
0.1634676000012405,676,19
0.17111619999923278,676,23
0.17338650000056077,676,44
0.19606279999970866,683,25
0.19065109999974084,683,33
0.1776809000002686,697,21
0.1912038999998913,706,40
0.18115709999983665,712,29
0.18037860000004002,725,19
0.18272969999998168,740,31
0.18418840000049386,740,33
0.1763993999993545,740,27
0.2021831000001839,745,30
0.17975380000098085,753,20
0.18593289999989793,753,26
0.18786550000004354,753,26
0.21304030000101193,763,18
0.20404139999845938,763,15
0.20270399999935762,788,24
0.2124178000012762,796,33
0.21034209999925224,800,28
0.2267664999999397,802,28
0.2034524999999121,802,30
0.21320360000026994,820,20
0.21166970000012952,820,27
0.20825669999976526,820,18
0.20956220000152825,822,23
0.21746170000005804,822,45
0.2127310000014404,822,28
0.20680990000073507,822,23
0.2072734000012133,822,25
0.20367199999964214,822,21
0.2135921999997663,839,13
0.21515480000016396,839,32
0.21942239999953017,846,28
0.21847929999967164,864,26
0.23836599999958707,890,27
0.24060539999845787,890,31
0.23476060000029975,890,32
0.2364636000002065,890,23
0.23527930000091146,890,26
0.2500947000007727,912,38
0.24657900000056543,970,17
0.25644830000055663,970,28
0.25801729999875533,970,32
0.2715602000007493,972,32
0.2716930999995384,976,28
0.25882500000079744,976,30
0.2704826999997749,976,26
0.2668367999995098,976,35
0.2717608000002656,976,27
0.26058959999863873,976,33
0.35210600000027625,984,34
0.25756790000014007,987,24
0.2657011000010243,987,22
0.27253919999930076,993,18
0.26910140000109095,993,26
0.2743263000011211,993,34
0.27231790000041656,1001,15
0.27788259999942966,1001,22
0.29538250000041444,1052,29
0.2953051999993477,1052,28
0.3013033999995969,1052,26
0.30558559999917634,1052,24
0.30899479999970936,1052,24
0.3079103000000032,1052,33
0.29996119999850634,1052,27
0.33183850000023085,1102,22
0.34258629999931145,1106,21
0.299112900000182,1114,12
0.30585229999996955,1114,33
0.34858189999977185,1124,26
0.35373320000144304,1124,30
0.3462019999988115,1124,25
0.34805339999911666,1124,28
0.3164947999994183,1130,52
0.32664289999956964,1132,17
0.3341872999990301,1198,19
0.33546039999964705,1198,16
0.3420607000007294,1198,35
0.39004239999849233,1210,22
0.37793649999912304,1210,27
0.347678400001314,1235,26
0.36366909999924246,1235,20
0.41596129999925324,1308,22
0.40149229999951785,1308,23
0.37765050000052724,1332,26
0.3930337999991025,1338,27
0.5277693000007275,1354,35
0.39725210000142397,1356,24
0.39503760000116017,1356,32
0.40039579999938724,1356,24
0.4428523000005953,1363,27
0.43253939999885915,1363,22
0.43590410000069824,1363,16
0.43056109999997716,1382,36
0.4212584999986575,1382,16
0.4178592000007484,1382,26
0.435779100000218,1390,26
0.4486596000006102,1390,28
0.42760869999983697,1390,26
0.4298582000010356,1390,29
0.4530484000006254,1400,38
0.441370000000461,1400,19
0.7406790000004548,1620,30
0.5472669000009773,1620,19
0.6681112999995094,1732,26
0.6756669999995211,1732,32
1.0521966999986034,2347,30
2.880422799998996,4128,25
