Method,AUROC,AUPRC,BEDROC20,EF1%,EF5%,Recovery@5%,Recovery@10%
Interpolation path,0.8152243401759531,0.5378427572126806,0.6774359367624446,6.865102639296188,5.526989412992694,0.2785923753665689,0.3812316715542522
Nearest anchor,0.7957903225806451,0.5091643790202903,0.6521799373388476,6.865102639296188,5.294274069287739,0.2668621700879765,0.3519061583577713
Predicted affinity,0.9494948680351907,0.925026341265303,0.9756741458276681,6.865102639296188,6.865102639296189,0.3460410557184751,0.6774193548387096
Combined,0.9484266862170088,0.8574489996634107,0.933695079227461,6.865102639296188,6.865102639296189,0.3460410557184751,0.6539589442815249
