molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL1243316,CHEMBL1243316,C#CCNC/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,IC50,=,0.03,nM,10.52,CHEMBL1249168
CHEMBL4100860,CHEMBL4100860,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1,Ki,=,0.03,nM,10.52,CHEMBL4013167
CHEMBL5805801,CHEMBL5805801,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(CC)CC4)cc3)ncc2C(F)(F)F)c1,Kd,=,0.037,nM,10.43,CHEMBL5731962
CHEMBL3613702,CHEMBL3613702,C=CC(=O)Nc1ccc2ncnc(Nc3cc(F)c(Cl)c(Cl)c3)c2c1,IC50,=,0.037,nM,10.43,CHEMBL3616083
CHEMBL363815,CHEMBL363815,C=CC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,IC50,=,0.037,nM,10.43,CHEMBL832761
CHEMBL5993268,CHEMBL5993268,COC[C@@H]1CN(c2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C(=O)O1,IC50,=,0.038,nM,10.42,CHEMBL5736969
CHEMBL31965,CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,IC50,=,0.04,nM,10.40,CHEMBL4721174
CHEMBL1229592,CHEMBL1229592,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,IC50,=,0.04,nM,10.40,CHEMBL4721173
CHEMBL4521381,CHEMBL4521381,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1,IC50,=,0.043,nM,10.37,CHEMBL4416109
CHEMBL5284924,CHEMBL5284924,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,IC50,=,0.05,nM,10.30,CHEMBL6089387
CHEMBL3353410,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,=,0.05,nM,10.30,CHEMBL5260456
CHEMBL5915655,CHEMBL5915655,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1C[C@H](CN(C)C)OC1=O,IC50,=,0.05,nM,10.30,CHEMBL5736967
CHEMBL5193123,CHEMBL5193123,COc1cc(N2CCC(N3CCCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1,IC50,=,0.05,nM,10.30,CHEMBL5117929
CHEMBL5271803,CHEMBL5271803,CN(C)CCn1cccc1/C=N/NC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,IC50,=,0.05,nM,10.30,CHEMBL5230885
CHEMBL5432965,CHEMBL5432965,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(SC)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.05,nM,10.30,CHEMBL5327353
CHEMBL5282641,CHEMBL5282641,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,IC50,=,0.053,nM,10.28,CHEMBL5255138
CHEMBL5790648,CHEMBL5790648,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1N1CC2(CN(C)C2)OC1=O,IC50,=,0.052,nM,10.28,CHEMBL5736967
CHEMBL6054692,CHEMBL6054692,CCCN1CC2(C1)CN(c1cc3c(Nc4cccc(Cl)c4F)ncnc3cc1OC)C(=O)O2,IC50,=,0.052,nM,10.28,CHEMBL5736967
CHEMBL5811442,CHEMBL5811442,COc1cc(N2CCC3(CC2)CN(C)C3)c(C)cc1Nc1ncc(Br)c(Nc2ccc3ccccc3c2P(C)(C)=O)n1,IC50,=,0.052,nM,10.28,CHEMBL5738256
CHEMBL5284924,CHEMBL5284924,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(=O)Oc2ccccc2)c(-c2cn(C)c3ccccc23)n1,IC50,=,0.053,nM,10.28,CHEMBL5260455
CHEMBL5282641,CHEMBL5282641,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,IC50,=,0.053,nM,10.28,CHEMBL5255142
CHEMBL3353410,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,=,0.058,nM,10.24,CHEMBL5224780
CHEMBL553,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,IC50,=,0.059,nM,10.23,CHEMBL5260457
CHEMBL5186680,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL5117929
CHEMBL3353410,CHEMBL3353410,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,=,0.06,nM,10.22,CHEMBL4670930
CHEMBL554,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,IC50,=,0.06,nM,10.22,CHEMBL4670931
CHEMBL5186680,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL5327354
CHEMBL5434495,CHEMBL5434495,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,IC50,=,0.06,nM,10.22,CHEMBL6089392
CHEMBL5393923,CHEMBL5393923,COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL5327354
CHEMBL5186680,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL6089389
CHEMBL5436031,CHEMBL5436031,COc1cc(N2CCC(N(C)CCN(C)C)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL5327354
CHEMBL5434495,CHEMBL5434495,COCC1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6nccnc6c5P(C)(C)=O)n4)cc3C)CC2)C1,IC50,=,0.06,nM,10.22,CHEMBL5327353
CHEMBL5393923,CHEMBL5393923,COc1cc(N2CCC(N3CC(C)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.06,nM,10.22,CHEMBL6089389
CHEMBL3545154,CHEMBL3545154,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,IC50,=,0.061,nM,10.21,CHEMBL5255138
CHEMBL1173655,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,IC50,=,0.061,nM,10.21,CHEMBL6179680
CHEMBL5201543,CHEMBL5201543,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,IC50,=,0.063,nM,10.20,CHEMBL6109459
