Generator,Unique valid analogs,QED mean,QED SD,SA mean,SA SD,Tanimoto mean,Tanimoto SD,PredAffinity mean,PredAffinity SD,Lipinski pass rate,Alert-free rate
diffusion,100,0.40247723701418503,0.10722136478571778,4.029594088257344,0.6380721611595962,0.1541771703872401,0.09135305345033085,11.289171838760376,0.36389411714242037,0.44,0.38
fragment_swap,100,0.5615226926986725,0.1509857057303648,2.929172842240681,0.3485019831542675,0.5566200186146468,0.14809788080680275,11.079249410629272,0.40032710479777217,0.94,0.74
random_edit,40,0.4168172552914669,0.057529518662794224,2.820022386491889,0.15968441125223856,0.8333106953209445,0.05106763431856025,11.196317267417907,0.28402507977499675,0.6,0.5
seed_reference,1,0.46571730609788475,0.0,2.649762485659984,0.0,1.0,0.0,11.272457122802734,0.0,1.0,1.0
