name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,CCCCn1nnnc1[C@H](NC[C@H]1CCCSC1)c1cc(C)on1,,,,,,ZINCov00000pbjam,1
,,COC[C@@]1(C(=O)N(C)CC(C)(C)S(C)(=O)=O)CCCCO1,,,,,,ZINCle00000BmFXL,1
,,CC[C@H]1CN(c2cc(NCc3cnc(C)o3)ncn2)C[C@@H](C)O1,,,,,,ZINCnt00000r0Pwq,1
,,Cn1ccc(CCC(=O)N2CCC[C@@H](C(=O)N3CC4(CCC4)C3)C2)c1,,,,,,ZINCps00000mdm6F,1
,,CC1(C)C[C@H]1C(=O)NCC[C@H]1C[C@@H](NC(=O)[C@@H](F)C2CCCCC2)C1,,,,,,ZINCpD00000nt0f2,1
,,CCC(=O)N[C@@H](C)[C@H](C)NC(=O)C1Cc2cc(OC)c(OC)cc2C1,,,,,,ZINCpo00000KgzQC,1
,,CCC(=O)N[C@H](C)C(=O)N1C[C@H]2CCN(C(=O)C=C3CC3)C[C@@H](C2)C1,,,,,,ZINCpj00000KgzR8,1
,,C[C@@H]1Oc2cc(F)ccc2[C@H]1NC(=O)N1CC(c2n[nH]c(=N)o2)C1,,,,,,ZINCok00000eolW3,1
,,CN(C)S(=O)(=O)CCCN[C@H]1CCc2sc(Cl)cc21,,,,,,ZINCjs000009IVXB,1
,,CCC[C@@](C)(CC)C(=O)N1CCC[C@H]1CN(C)C(=O)C1CSC1,,,,,,ZINCnA000003NI4K,1
,,C=CCCn1nnnc1[C@@H](NC[C@H]1C[C@@H]1C1CC1)c1cc(Br)no1,,,,,,ZINCox00000pbjax,1
,,C[C@@H](CO)C(=O)NCC[C@]1(O)CCCN(C(=O)c2cc(Cl)c[nH]2)C1,,,,,,ZINCod00000EMDOj,1
,,COCC1(C(=O)NC(C)(C)CCN(C)C)CC(F)(F)C1,,,,,,ZINCko00000BmFXI,1
,,CCC(=O)N[C@@H](C)C(=O)N1CCN(C(=O)[C@H]2CC[C@H]2C)C2(CCC2)C1,,,,,,ZINCpl00000KgzRe,1
,,CCCCn1nnnc1[C@@H](NC[C@@H]1CCCSC1)c1cccnc1,,,,,,ZINCow00000pbjal,1
,,CCC[C@H](C#N)N(C)C(=O)Cc1cc2c(cc1[N+](=O)[O-])OCCO2,,,,,,ZINCoq00000035Ie,1
,,CC1=NS(=O)(=O)N(C)C=C1C(=O)NC[C@H](C)NC(=O)[C@@H](C)CC1CC1,,,,,,ZINCpb00000ttK2r,1
,,CCC(=O)N[C@@H](C)C(=O)N1CC(C[C@H](C)NC(=O)c2cocc2Br)C1,,,,,,ZINCpp00000KgzQX,1
,,Cc1[nH]c(C#N)cc1C(=O)N[C@H]1C[C@@H](C(=O)N2CCC(C)(C)CC2)C1,,,,,,ZINCpt00000iVBT1,1
,,CC[C@](C)(CNC(=O)NNC(=O)c1ccnc(O)c1)COC,,,,,,ZINCmd00000uDIMG,1
,,CC[C@H]1CN(c2cc(NCc3nncs3)nc(C)n2)CCCO1,,,,,,ZINCns00000r0Pww,1
,,CCCN(OC)C(=O)[C@H]1CCC[C@@H](NC(=O)c2ncccn2)CC1,,,,,,ZINCop00000FzHhh,1
,,CC1=NO[C@H](CC(=O)N(C)C2CC(NC(=O)Cc3nonc3C)C2)C1,,,,,,ZINCpb00000ttH9C,1
,,CCC[C@@](C)(CC)C(=O)N1CC2(CCN(C(=O)[C@H](F)CC)C2)C1,,,,,,ZINCnA000003NI3m,1
,,COC[C@]1(C(=O)N(C)CC[C@@H](C)O)CCCCN1,,,,,,ZINCi900000BmFXP,1
,,CC1=NO[C@H](C(=O)N[C@@H]2CCN(C(=O)c3coc(Br)n3)C[C@H]2CO)C1,,,,,,ZINCpb00000ttGg4,1
,,C=C(C)CCNC(=O)NNc1nccc(N2CCOCC2)n1,,,,,,ZINCmf00000uDIMA,1
,,CCCC[C@H](CN)NC(=O)c1ccc(-c2ccsc2)cc1,,,,,,ZINClG000003nswQ,1
,,C=CCN(OC)C(=O)[C@@H]1CCC[C@H]1NC(=O)[C@@H](O)C1CCCCC1,,,,,,ZINCon00000FzHhe,1
,,CC1=NO[C@H](C(=O)N[C@@H]2COCC[C@@H]2NC(=O)C23CC4C[C@H]2[C@H]3C4)C1,,,,,,ZINCpb00000ttGoG,1
,,CCC(=O)N[C@@H](C)C(=O)N[C@]12C[C@H]1CN(C(=O)Cc1sccc1Cl)C2,,,,,,ZINCpl00000KgzRj,1
,,CCC[C@@](C)(CC)C(=O)N1CC(CNC(=O)Cc2cccs2)C1,,,,,,ZINCnA000003NI1K,1
,,CC[C@](C)(CNC(=O)NNc1c(F)cc(F)cc1F)C(N)=O,,,,,,ZINCmm00000uDIMz,1
,,COCCO[C@H](C)C(=O)NCc1ccccc1CN(C)CCC(C)C,,,,,,ZINCpy0000057owp,1
,,CC[C@H](C)n1cc([C@H](C(=O)NC(C)C)N(C)C2[C@@H]3CCC[C@@H]23)cn1,,,,,,ZINCoB00000tdDqC,1
,,C[C@@H]1ON=C(C(=O)N[C@H](C)C2CN(C(=O)/C=C/C(F)(F)F)C2)[C@H]1C,,,,,,ZINCok00000eolG0,1
,,N#Cc1ccc(F)cc1-c1cn(CC(=O)N[C@H]2C[C@H](O)C2)nn1,,,,,,ZINCnb00001A3V70,1
,,CC[C@H]1CN(c2cc(NCCc3cncs3)nc(C)n2)CCO1,,,,,,ZINCnv00000r0PwD,1
,,CCC(=O)N[C@@H](C)C(=O)N1CCN(C(=O)C[C@H]2CCC2(F)F)[C@H](C)C1,,,,,,ZINCpj00000KgzRd,1
,,CCC(=O)N[C@H](C)C(=O)NC1CCN(C(=O)[C@H]2C[C@H](C(F)F)C2)CC1,,,,,,ZINCpj00000KgzRv,1
,,N#Cc1cccc(S(=O)(=O)N[C@@H]2C=CCN(C(=O)C3CC3)C2)c1,,,,,,ZINCng00001A3V6X,1
,,CN(NC(=O)c1cc(Br)c2c(c1)CCO2)C1CC1,,,,,,ZINCir000009IVXF,1
,,Cc1[nH]c(C#N)cc1C(=O)N[C@@H](C)C1(C(=O)N2CC[C@H]2C(C)C)CC1,,,,,,ZINCpt00000iVBT7,1
,,C[C@H](CO)C(=O)NCCC(C)(C)CNC(=O)CCCc1cnn[nH]1,,,,,,ZINCoa00000EMDOt,1
,,COC[C@@]1(C(=O)N(C)CC[C@@H]2CCCO2)CNCCO1,,,,,,ZINCk600000BmFXO,1
,,CCC(=O)N[C@H](C)C(=O)N1C[C@@H](NC(=O)c2ccsc2SC)[C@H](C)C1,,,,,,ZINCpp00000KgzR9,1
,,N#Cc1ccc(N2CC[C@H](CNC(=O)C[C@H](F)Cl)[C@H](O)C2)nn1,,,,,,ZINCnb00001A3V7i,1
,,C=CCN(OC)C(=O)[C@@H]1CCC[C@@H](NC(=O)CCCCN(C)C)C1,,,,,,ZINCop00000FzHhj,1
,,C[C@H](CO)C(=O)NCC(C)(C)CN(C)C(=O)CCO[C@H]1CCOC1,,,,,,ZINCoa00000EMDOv,1
,,COCC1(C(=O)NCCCCN2CCCCC2)CNC1,,,,,,ZINCkc00000BmFXQ,1
,,CC[C@H]1CN(c2cc(N(C)CC3=CCSC3)ncn2)CCN1C,,,,,,ZINCnr00000r0PwC,1
,,CN1CCC[C@](C)(C(=O)N2CCC[C@@H](NC(=O)CC3CC=CC3)C2)C1,,,,,,ZINCpr00000mdm6R,1
,,CCC1(C(=O)N[C@@H](C)CCCCNC(=O)[C@@H]2[C@@H](C3CC3)C2(F)F)CC1,,,,,,ZINCpC00000nt0rA,1
,,C[C@@H](CO)C(=O)NCCCC1(NC(=O)c2cncc(C#N)c2)CC1,,,,,,ZINCod00000EMDOm,1
,,N#Cc1cc(Cl)cc(C(=O)N[C@H]2CC[C@@H]2NS(=O)(=O)CCO)c1,,,,,,ZINCn900001A3V78,1
,,CC[C@H]1CN(c2cc(NCC3(C)CSC3)nc(C)n2)CCN1C,,,,,,ZINCnu00000r0Pwo,1
,,N#Cc1ccc(C(=O)N[C@@H](CC(=O)NC2CC=CC2)C2CC2)[nH]1,,,,,,ZINCnm00001A3V6Q,1
,,COC[C@]1(C(=O)NCC(C)(C)CN=[N+]=[N-])CCCCN1,,,,,,ZINCkl00000BmFXJ,1
,,CCCN(OC)C(=O)[C@@H]1CCC[C@H]1NC(=O)c1ccc(NC)cn1,,,,,,ZINCoo00000FzHh2,1
,,CC1CC(C(=O)N2C[C@@H](C)C[C@H](NC(=O)C3(n4cnnn4)CC3)C2)C1,,,,,,ZINCpb00000ttLFR,1
,,CCN(CCC(N)=O)C(=O)[C@@H]1CC[C@H](CNC(=O)CSC(F)F)O1,,,,,,ZINCo900000HKANI,1
,,CC[C@H](C)n1cc([C@H](C(=O)NC)N2c3ccccc3C[C@@H]2C)cn1,,,,,,ZINCoA00000tdDqJ,1
,,CCCCn1nnnc1[C@@H](NC[C@@H]1CCCSCC1)c1cnc[nH]1,,,,,,ZINCou00000pbjas,1
,,CN1CCC[C@](C)(C(=O)N2CCC[C@@H](CC(=O)N3CC=CCC3)C2)C1,,,,,,ZINCpr00000mdm6D,1
,,CC[C@H](CNC(=O)C(=O)Nc1ccccc1COC(C)C)CC(F)F,,,,,,ZINCpD00000nt0u3,1
,,CC[C@H](C)n1cc([C@H](C(=O)NCCCF)N(CCF)C(C)C)cn1,,,,,,ZINCoA00000tdDqB,1
,,N#Cc1cc(Cl)cc(C[C@@H](N)C(=O)NCCOc2cc[nH]n2)c1,,,,,,ZINCng00001A3V76,1
,,CC1=NO[C@](C)(C(=O)N[C@H]2C[C@@H](NC(=O)CSc3n[nH]c(=N)s3)C2)C1,,,,,,ZINCpb00000ttJLL,1
,,CCC(=O)N[C@@H](CCN(C)C(=O)[C@H]1CCN(C2COC2)C1)C(C)(C)C,,,,,,ZINCpk00000KgzQM,1
,,CC1=NO[C@H](C(=O)NCC(C)(C)NC(=O)c2ccn3nncc3c2)C1,,,,,,ZINCpb00000ttEMo,1
,,O=C(NC[C@]1(F)CCN(C(=O)CC2CCC2)C1)c1cc(F)ccc1Cl,,,,,,ZINCpD00000nt0lN,1
,,CCCCn1nnnc1[C@H](NC[C@@H]1CCCSCC1)c1ncco1,,,,,,ZINCow00000pbjav,1
,,CC1=NO[C@H](CC(=O)NC[C@](C)(CO)NC(=O)c2ccnc(C)c2)C1,,,,,,ZINCpb00000ttIlM,1
,,C=CC(C)(C)CC(=O)NC[C@H](CCOC)NC(=O)C=C1CC[C@H](C)C1,,,,,,ZINCpz00000nt0p6,1
,,N#Cc1ccc(C(=O)N[C@H](c2ncc(Br)cn2)C2CC2)c(O)n1,,,,,,ZINCnm00001A3V6N,1
,,N#Cc1ccc(C(=O)N[C@@H](CC(=O)N2CC(C#N)C2)C2CC2)s1,,,,,,ZINCnl00001A3V6O,1
,,N#Cc1ccc(C(=O)NOCc2cn([C@@H]3CCC[C@H]3O)nn2)o1,,,,,,ZINCnc00001A3V6U,1
,,CC[C@@H]1CN(c2cc(NCCc3ccnn3C)ncn2)CCS1,,,,,,ZINCnr00000r0PwB,1
,,N#Cc1ccc(N2CC[C@H](CNC(=O)CN3CC=CC3)C2)nc1,,,,,,ZINCnd00001A3V7k,1
,,Cn1ccc(CCC(=O)N2CC=C[C@H](C(=O)NCC3(Cl)CCC3)C2)c1,,,,,,ZINCps00000mdm6M,1
,,CN1CCC[C@@](C)(C(=O)N2CC=C[C@@H](C(=O)NC3CC(Cl)(Cl)C3)C2)C1,,,,,,ZINCpr00000mdm6K,1
,,CCC(=O)N[C@@H](C)C(=O)N1C[C@@H]2C[C@H]1[C@@H]2NC(=O)c1sc(C)nc1Br,,,,,,ZINCpk00000KgzR7,1
,,CCC[C@@H]1C[C@@H](C(=O)NC[C@H]2CCN2Cc2ccsc2)CCO1,,,,,,ZINCnA000003NHWN,1
,,CCCC[C@H](COC)NCc1cnn(C2CCCCC2)c1,,,,,,ZINClG000003nsBl,1
,,CC1=NO[C@H](C(=O)NC2CN(C(=O)c3ccc(S(C)(=O)=O)s3)C2)[C@H]1C,,,,,,ZINCpb00000ttEGv,1
,,C[C@@H]1O[C@H](C)[C@@H](C(=O)N[C@@H]2[C@H]3C[C@@H]2N(C(=O)c2ccc[nH]2)C3)[C@H]1C,,,,,,ZINCok00000eolTH,1
,,CC1CC(C(=O)N2CC[C@@H](NC(=O)CCCCC(N)=O)C[C@@H](O)C2)C1,,,,,,ZINCpb00000ttLzt,1
,,C=CCN(OC)C(=O)[C@H]1CCC[C@H]1NC(=O)c1cn(C(C)C)cn1,,,,,,ZINCop00000FzHh5,1
,,CCCCn1nnnc1[C@@H](NC[C@H]1C[C@@H]1C1CC1)C(C)(C)N(C)C,,,,,,ZINCou00000pbjay,1
,,CCC(=O)N[C@H](C)C(=O)NC1CC2(C1)CN(C(=O)c1cocc1Br)C2,,,,,,ZINCpm00000KgzRk,1
,,COCCO[C@H](C)C(=O)NCCCN(CC1CCC(C)CC1)C1CC1,,,,,,ZINCpy0000057otD,1
,,CC[C@H](C)n1cc([C@H](C(=O)NCCSC)N(C)CC(F)(F)Cl)cn1,,,,,,ZINCoB00000tdDqI,1
,,Cc1[nH]c(C#N)cc1C(=O)N[C@@H]1C[C@@H](CC(=O)NC[C@@H](F)Cl)C1(C)C,,,,,,ZINCpt00000iVBT0,1
,,CCOC1(CN(Cc2ncccc2C)C(=O)[C@H]2CC[C@H](C)C2)CC1,,,,,,ZINCoH00000lz3X7,1
,,COCCOc1ccc(NC(=O)N[C@@H](C(=O)O)c2cscn2)cc1Br,,,,,,ZINCpy0000057oNf,1
,,C[C@@H](CO)C(=O)N(C)CC1(CNC(=O)CC2CC3(COC3)C2)CC1,,,,,,ZINCod00000EMDOg,1
,,CC(C)Cn1nnnc1[C@H](NC[C@H]1CCCSCC1)c1cnco1,,,,,,ZINCov00000pbjat,1
,,CC[C@@H]1CN(c2cc(NCc3nc(C)ns3)nc(C)n2)CCS1,,,,,,ZINCny00000r0Pwu,1
,,CC1=NO[C@H](C(=O)NC[C@H]2CCN(C(=O)Cn3cc(C)cn3)C2)[C@H]1C,,,,,,ZINCpb00000ttFPd,1
,,CCC(=O)N[C@H](C)C(=O)NCCC1(CNC(=O)[C@]2(C)CC2(Cl)Cl)CC1,,,,,,ZINCpo00000KgzRE,1
,,C[C@H](NC(=O)C1CC=CC1)[C@H]1CCCN(C(=O)CCCC(F)(F)Br)C1,,,,,,ZINCpI00000ltHKZ,1
,,CCN(CCC(N)=O)C(=O)[C@@H]1CCCN1C(=O)c1ccc(C)nn1,,,,,,ZINCo700000HKANL,1
,,COC[C@]1(C(=O)NCC(C)(C)n2ccnc2)C=CCN1,,,,,,ZINCk800000BmFXR,1
,,CCC(=O)N[C@@H](C)C(=O)N1CC2=C(CN(C(=O)CC3(C)CCC3)C2)C1,,,,,,ZINCpk00000KgzQR,1
,,N#Cc1cc(CN2CCC3(CC2)C[C@H](O)CNC3=O)ccc1Br,,,,,,ZINCnn00001A3V7a,1
,,CC[C@@H]1CN(c2cc(NCc3ncc(C)s3)ncn2)CCCO1,,,,,,ZINCny00000r0Pwt,1
,,C[C@H](CO)C(=O)NCCC1CCN(C(=O)[C@H](O)c2ccco2)CC1,,,,,,ZINCoc00000EMDOf,1
,,C#CCN(OC)C(=O)[C@@H]1CCC[C@H]1NC(=O)CC[C@H]1CCCCO1,,,,,,ZINCom00000FzHh8,1
,,CCCC[C@H](N)CC(=O)N1CCC(C)(C)c2ccccc21,,,,,,ZINClG000003nsDC,1
,,CCOC(=O)C=C(C)CNC(=O)c1nsc2cc(Br)ccc12,,,,,,ZINCmC000003AE6r,1
,,CCOC1(CN(Cc2ncccc2C)C(=O)C2(CC)CCC2)CC1,,,,,,ZINCoI00000lz3X5,1
,,Cc1cc(F)c([C@H](NC2CC2)c2nnnn2C2CC2)nc1Br,,,,,,ZINCmu00000guWYY,1
,,C[C@@H]1SCC[C@@H]1NC(=NCCOCCS(C)(=O)=O)NC1CCCC1,,,,,,ZINCok00000eom03,1
,,CCOC(=O)C1CCC(CC(=O)NCc2cnc(Br)s2)CC1,,,,,,ZINCmC000003AE5n,1
,,CCC(=O)N[C@@H](C)C(=O)N1CCSC[C@H]1CCNC(=O)CC(F)(F)Cl,,,,,,ZINCpl00000KgzRg,1
,,CC[C@H]1CN(c2ccncc2S(=O)(=O)N2CCSCC2)CCS1,,,,,,ZINCnr00000r0Pwj,1
,,CC1=NS(=O)(=O)NC=C1C(=O)NCCCNC(=O)[C@]1(C)CC=CCC1,,,,,,ZINCpb00000ttKt0,1
,,C=C(C)Cn1nnnc1[C@@H](NC[C@@H]1CCCS1)c1nc(C)c(C)o1,,,,,,ZINCou00000pbjak,1
,,CCC[C@H](C(=O)N[C@@H](C(=O)OC)c1ccc(F)c(C)c1)C(=O)OC,,,,,,ZINCoq00000035P8,1
,,C=CCCC(F)(F)C(=O)N[C@H](CNC(=O)C=CCF)c1ccccc1,,,,,,ZINCpA00000nt0jt,1
,,CC1=NO[C@H](C(=O)NC[C@@H](C)CNC(=O)c2ccc(C)nc2O)[C@H]1C,,,,,,ZINCpb00000ttFoG,1
,,N#Cc1ccc(N2CC[C@@H](NC(=O)[C@@H](O)CC3CCC3)C2)nn1,,,,,,ZINCnb00001A3V7l,1
,,CC1=NO[C@H](C(=O)N[C@](C)(CO)CNC(=O)[C@H]2C[C@@]3(CC3(F)F)C2)C1,,,,,,ZINCpb00000ttH6k,1
,,CN1CCC[C@](C)(C(=O)N2CC=C[C@H](C(=O)N[C@@]3(C)CC3(C)C)C2)C1,,,,,,ZINCpq00000mdm6I,1
,,COCC1(C(=O)NC(C)(C)CNC(N)=O)CC(N)C1,,,,,,ZINCj500000BmFXS,1
,,CC1=NO[C@H](C(=O)N2CC[C@@H](CO)[C@H](NC(=O)c3csc(C)n3)C2)C1,,,,,,ZINCpb00000ttDzX,1
,,COC[C@]1(C(=O)NCC(C)(C)C(F)F)C=CCN1,,,,,,ZINCif00000BmFXG,1
,,Cc1[nH]c(C#N)cc1C(=O)N[C@@H](CCC(C)C)C(=O)NC12CC(C1)C2,,,,,,ZINCpt00000iVBT8,1
,,N#Cc1ccc(I)c(N2CCN(C(=O)N3CCOCC3)CC2)n1,,,,,,ZINCnh00001A3V73,1
,,N#Cc1ccc(C(=O)N[C@@H](CC(=O)N2C[C@H](O)CO2)C2CC2)s1,,,,,,ZINCnc00001A3V6P,1
,,C[C@@H](NC(=O)C12CC(C[C@@H]1C(=O)O)C2)c1cccs1,,,,,,ZINCju00000eTefF,1
,,CC(C)(C)OC(=O)N1CC2(C[C@H](CNC(=O)c3coc(O)n3)CO2)C1,,,,,,ZINCpd000015Klan,1
,,CC(C)C(=O)C(=O)N1CC2(C[C@@H](NC(=O)[C@H](O)CC(C)(C)C)CO2)C1,,,,,,ZINCpa000015KlaD,1
,,CCOC(=O)[C@H](CC)C(=O)N1CC[C@@](CF)(C(=O)OC)C1,,,,,,ZINClf000007ehhA,1
,,CSCC[C@@H](C)NC(=O)[C@H]1CCN(C(=O)C2=CCCCCC2)C12CC2,,,,,,ZINCpF00000sZ5Ax,1
,,CO[C@H](CC1CC1)C(=O)N[C@H]1CC[C@@H](NC(=O)[C@H](C)CC(C)C)C1,,,,,,ZINCow00000pgLsF,1
,,CCC#CCN=c1[nH]ccc(=N[C@H]2CCN(c3ccn(C)n3)C2)[nH]1,,,,,,ZINCon00000t7H2h,1
,,CN(CCC(=O)NC1([C@@H](O)CO)CC1)C(=O)[C@@H]1CCCCNC1=O,,,,,,ZINCo400000HLYHZ,1
,,CC(C)(C)OC(=O)N1CC2(C[C@@H](CNC(=O)[C@H]3C[C@@H]3[N+](=O)[O-])CO2)C1,,,,,,ZINCpd000015Klao,1
,,COC(=O)[C@@]12CC[C@@](C(=O)NC3(C4CCCC4)CCC3)(CN1)C2,,,,,,ZINCnp00001A3Jgd,1
,,CC[C@H](C)CCC(=O)N1CCC[C@](F)(CNC(=O)[C@H](C)COC)CC1,,,,,,ZINCpz00000xA6ft,1
,,C[C@@H]1CN2CCC[C@H]2CN1C(=O)[C@H]1CCCN(CC2CCC2)C1,,,,,,ZINCnr00000otW79,1
,,CSCC[C@H](C)NC(=O)[C@H]1CCN(C(=O)C2=CCCCCC2)C[C@H]1C,,,,,,ZINCpG00000sZ5Az,1
,,COC(=O)[C@@]12CC[C@@](C(=O)N(C)CCc3noc(C)n3)(CO1)C2,,,,,,ZINCna00001A3JgC,1
,,C=C(C)CCN=c1[nH]c(N2C[C@]34CCC[C@]3(COC4)C2)nc(=N)[nH]1,,,,,,ZINCoo00000t7H2j,1
,,COC(=O)C12CCC(C(=O)N[C@@H]3[C@H](CN)CCC34CCC4)(C1)C2,,,,,,ZINCnn00001A3JgT,1
,,C[C@@H]1CN(C(=O)c2ccccc2)[C@H]1C(=O)Nc1ccccc1CCO,,,,,,ZINCpt00000tAh2c,1
,,CC[C@@H](C)C=CC(=O)N1CCC[C@](F)(C(=O)N2CCCC3(CC3)C2)C1,,,,,,ZINCpD00000xA6fv,1
,,C[C@@H]1CN(C(=O)C2CC(C)(C)C2)[C@@H]1C(=O)NCc1cc(C2CC2)no1,,,,,,ZINCpu00000tAh2g,1
,,C=CCC[C@H](C)Nc1cc(N2C[C@H](CO)OC3(CCC3)C2)nc(C)n1,,,,,,ZINCpw00000xEMWS,1
,,CCOC(=O)[C@H](F)C1CN(C(=O)c2cn(C)nc2CC)C1,,,,,,ZINClf000007ehCV,1
,,CC[C@@](C)(CN=c1[nH]c(N2CC[C@@H](C)C2)nc2c1COC2)C(N)=O,,,,,,ZINCom00000t7H2z,1
,,C=C1CC[C@@H](CN(CCC(C)(C)OC)C(=O)C2=CCN(C)CC2)C1,,,,,,ZINCoC00000t65k0,1
,,COC(=O)[C@@]12CC[C@@](C(=O)Nc3cc4c(cn3)CCC4)(CO1)C2,,,,,,ZINCnm00001A3Jge,1
,,C#CC[C@H](O)C(=O)NC/C=C/CC(=O)N1CCCC[C@H]1C#C,,,,,,ZINCma00000wZXmZ,1
,,CN(CCC(=O)NC1([C@H](O)CO)CC1)C(=O)[C@H]1CC(=O)OC1(C)C,,,,,,ZINCo500000HLYI1,1
,,CC[C@](C)(O)C(=O)N1CC2(CO)CC1(C(=O)NC[C@H](O)C(C)(C)C)C2,,,,,,ZINCp6000015Klbb,1
,,C[C@@H]1CN(C2CC2)CCN1C1CCN(Cc2ccccc2)CC1,,,,,,ZINCny00000otW7e,1
,,CN(CCC(=O)NC1([C@@H](O)CO)CC1)C(=O)[C@@]1(C#N)CCCOC1,,,,,,ZINCo500000HLYHV,1
,,CCOC(=O)[C@H]1CCCN(S(=O)(=O)N2CCS[C@@H](C)C2)C1,,,,,,ZINClf000007ei0R,1
,,COC(=O)[C@@]12CC[C@@](C(=O)N[C@@H]3[C@H]4C[C@@H]5CO[C@@H]3[C@H]5C4)(C1)NC2,,,,,,ZINCn800001A3JgS,1
,,C[C@@H](CCCNC(=O)CCOC1CCC1)NC(=O)[C@H]1CCOC1(C)C,,,,,,ZINCpr00000iFAHK,1
,,C[C@@H]1CN(C(=O)N[C@@H]2C[C@@H]3COC[C@H]32)CC[C@H]1NC(=O)OC(C)(C)C,,,,,,ZINCpp00001BNeR2,1
,,CCOC(=O)[C@H]1CCCN(C(=O)C2(OC)CCOCC2)C1,,,,,,ZINClf000007ehYH,1
,,CC[C@](C)(O)C(=O)N1CC2CC(C(=O)NC[C@@H](OC)C(F)(F)F)(C2)C1,,,,,,ZINCpg000015Klaf,1
,,COC(=O)[C@]12CC[C@](C(=O)N[C@@H]3C[C@@H](O)C34CC(F)(F)C4)(C1)C2,,,,,,ZINCnj00001A3JgQ,1
,,C[C@H](NC(=O)[C@@]12CCC[C@@H]1[C@H]2Br)C(=O)C1CC1,,,,,,ZINChq00000eTefE,1
,,COC(=O)[C@@]12CC[C@@](C(=O)Nc3ccc(CC#N)cc3)(CO1)C2,,,,,,ZINCno00001A3Jgf,1
,,CN1C[C@@H](Nc2cc(S(=O)(=O)N(C)C)ccc2N(C)C)CCC1=O,,,,,,ZINCog00000HbAax,1
,,C[C@H]1CN(C(=O)C2=CCCCC2)[C@@H]1C(=O)NCC12CCC(CC1)OC2,,,,,,ZINCpu00000tAh2f,1
,,CSCC[C@H](C)NC(=O)[C@@H]1C[C@H](C)CCN1C(=O)Cc1cc(C)cs1,,,,,,ZINCpE00000sZ5Ap,1
,,FC(F)(F)COc1ccc(N2CC[C@@H](OCC3CC3)C2)nc1,,,,,,ZINCmA00000dzb9D,1
,,COC(=O)C12CCC(C(=O)N3CCO[C@@H](C(C)(C)F)C3)(CC1)O2,,,,,,ZINCni00001A3Jgc,1
,,CC[C@H](C)CC(=O)NNC(=O)c1cc(-c2ccccc2)[nH]n1,,,,,,ZINCms000000Azf0,1
,,COC(=O)[C@@]12CC[C@@](C(=O)NC[C@@H]3CC[C@H]4CNC[C@H]43)(CO1)C2,,,,,,ZINCna00001A3JgJ,1
,,CC(C)CCN=c1[nH]c(C(=O)N2CC3(COC3)[C@@](F)(CO)C2)cs1,,,,,,ZINCon00000t7H2i,1
,,COC(=O)[C@@]12CC[C@@](C(=O)NCc3ccnc(OC)c3)(CO1)C2,,,,,,ZINCne00001A3Jgw,1
,,C[C@@H]1CN(c2nccc3n[nH]cc23)CCN1c1ccc(F)cn1,,,,,,ZINCns00000otW7r,1
,,C[C@@H]1CN(C(=O)C2CC(C)(C)C2)[C@@H]1C(=O)N1CCC2(CC1)C[C@H]2C#N,,,,,,ZINCpu00000tAh27,1
,,CC[C@@H](CCCC(=O)N1CCC=C(F)C1)NC(=O)[C@@H](CC(C)C)OC,,,,,,ZINCpB00000xA6fl,1
,,C[C@@H](CCCNC(=O)C(F)=C1CCCC1)NC(=O)CSc1nc[nH]n1,,,,,,ZINCpq00000iFAHQ,1
,,CC[C@](C)(O)C(=O)N1CC2(C[C@@H](C(=O)N3CC[C@H]4CCC[C@H]43)CO2)C1,,,,,,ZINCph000015Klap,1
,,C=C[C@](C)(O)C(=O)N1C[C@@]2(CNC(=O)C3=CCCC[C@@H]3C)C[C@H]1CO2,,,,,,ZINCph000015KlaT,1
,,CC(C)C[C@H](C)Nc1ccc(S(=O)(=O)N(C)C[C@@H]2CCCN2C)cn1,,,,,,ZINCpw00000xEMWE,1
,,CN1C[C@H](C(=O)O[C@@H]2CCc3ccccc3NC2=O)OCCC1=O,,,,,,ZINCod00000HbAar,1
,,CC(C)C(=O)C(=O)N1CC2(C[C@H](C(=O)Nc3ccc[n+]([O-])c3)CO2)C1,,,,,,ZINCp7000015Klar,1
,,C#CC[C@@H](O)C(=O)N(CC#C)CC(=O)N1CCC[C@](C)(F)C1,,,,,,ZINCm700000wZXmX,1
,,C[C@H]1CN(C(=O)C2CC(C)(C)C2)CCN1S(=O)(=O)C[C@@]1(C)CC1(F)F,,,,,,ZINCpt00000tAh24,1
,,CCOC(=O)[C@H]1CCCN(C(=O)c2ccn(COC)n2)C1,,,,,,ZINClf000007ehZY,1
,,CC[C@H](C)C(=O)NCC1(NC(=O)OC(C)(C)C)CCOCC1,,,,,,ZINCms000000Azc3,1
,,C#CC[C@@H](O)C(=O)NC/C=C/CC(=O)N1CC(C)(C)C[C@@H]1C,,,,,,ZINCmg00000wZXmV,1
,,CC(C)C[C@@H](C)Nc1ccc(S(=O)(=O)N[C@@H]2CC23CC(O)C3)cc1F,,,,,,ZINCpy00000xEMWL,1
,,CC[C@@H](C)CCC(=O)N1CCC[C@@](F)(CNC(=O)C2CC(CF)C2)C1,,,,,,ZINCpC00000xA6fo,1
,,CC(C)C(=O)C(=O)N1CC2CC(C(=O)N[C@H]3CC[C@H](N(C)C)C3)(C2)C1,,,,,,ZINCpg000015Klah,1
