name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,CCN1CC[C@H]1CNC(=O)c1c[nH]nc1CCNC(=O)C1=COCC1,,,,,,ZINCp7000015MdZk,1
,,Fc1cc2[nH]cc(CCN[C@@H]3CCOC3)c2cc1F,,,,,,ZINCjt00000eU9Ih,1
,,CC[C@H](C)C[C@@H](C)C(=O)NC[C@H]1CCCCN1C(=O)[C@H](OC)C1CC1,,,,,,ZINCpz000005RH0G,1
,,C[C@H](NC(=O)[C@@H]1C[C@]1(F)Cl)C(C)(C)C(=O)N1C[C@H]2CCCC[C@H]21,,,,,,ZINCny00000r2mEt,1
,,C=C1CC(NC(=O)C(=O)N2CC[C@@H]3NC(=O)NC[C@H]3C2)C1,,,,,,ZINCl500000AivMa,1
,,COC1CC(Nc2[nH]c(=NC[C@H]3CSCCS3)nc3c2cnn3C)C1,,,,,,ZINCps00000CF5rh,1
,,Cc1cc(NC(=O)N2C[C@@H]3[C@H](C2)CS3(=O)=O)nc(C)c1Br,,,,,,ZINCln00000AivMA,1
,,CC1(C)C=C(C(=O)N[C@H]2C[C@H]2CNC(=O)c2cnc3sccc3c2)C1,,,,,,ZINCpy00000oyTme,1
,,CSC1CC(N(C)C(=O)[C@H](CN(C)C)NC(=O)Cc2csc(C)n2)C1,,,,,,ZINCpj00001BP6Jw,1
,,CSC1CC(N(C)C(=O)[C@H](NC(=O)[C@H](O)C(C)(C)C)[C@H]2CCOC2)C1,,,,,,ZINCpi00001BP6JB,1
,,COC[C@@H](CC(=O)N1CCC[C@H](C)[C@@H]1CO)NC(=O)C1(SC)CC1,,,,,,ZINCog00000HT9I9,1
,,Fc1cc2[nH]cc(CNC[C@@H]3CCCS3)c2cc1F,,,,,,ZINCjE00000eU9Il,1
,,CC(C(=O)N1[C@H](C)C[C@@H]1C(=O)N[C@H]1C[C@]2(CCCO2)C1)=C1CCC1,,,,,,ZINCot00000sXlz7,1
,,CCN1CC[C@H]1CNC(=O)CCC1(C)CN(C(=O)c2cncnc2)C1,,,,,,ZINCpf000015Me04,1
,,C=C1CC(C(=O)NC[C@@H](C)CN(C)C(=O)c2c(F)cccc2F)C1,,,,,,ZINCox0000027Kyc,1
,,COc1cc(N=c2[nH]c(CNC(=O)[C@H]3C[C@H]3C(N)=O)cs2)ccc1Cl,,,,,,ZINCps00000CF5r6,1
,,CC[C@H](C)C[C@@H](C)C(=O)N[C@@H](C)CNC(=O)CCc1c(C)noc1C,,,,,,ZINCpz000005RH3M,1
,,Cc1cc(NC(=O)CS(=O)(=O)C23CC(C2)C3)cc(O)c1C,,,,,,ZINClp00000AivMr,1
,,Cc1cc(=NC(=O)CN2C[C@@H]3CCO[C@]3(CO)C2)[nH]o1,,,,,,ZINCk600000AivM2,1
,,CCN1CC[C@@H]1CNC(=O)C1(F)CN(C(=O)C[C@H]2CC[C@H](C)CO2)C1,,,,,,ZINCpf000015MdZw,1
,,COC1CC(N=c2[nH]c3c(c(=NC[C@]4(OC)CCSC4)[nH]2)COC3)C1,,,,,,ZINCpq00000CF5r1,1
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)C12CCC(CC1)CC2,,,,,,ZINCnF00000llstd,1
,,Cc1ccc(CN(C)c2nc(=N)nc(N3CCO[C@H](CO)C3)[nH]2)o1,,,,,,ZINCo700000HFAhv,1
,,O=C(N[C@H]1CCO[C@@H](C2CC2)C1)c1cc(Cl)ncc1O,,,,,,ZINCkr000000jLoZ,1
,,O=C(NCc1ccc(CCNC(=O)[C@H]2CC[C@H]2F)cc1)C1=CCCC1,,,,,,ZINCpy00000oyTsM,1
,,Cc1ccc(C#N)cc1NC(=O)[C@H](CO)NC(=O)[C@]12COC[C@H]1C2,,,,,,ZINCo900000HFAhp,1
,,CC1(C)CN(C(=O)C(=O)N2CC[C@@H]3[C@@H](O)C[C@@H]32)C[C@@H]1CN,,,,,,ZINCl500000AivM6,1
,,CCN1CC[C@@H]1CNC(=O)C1(NC(=O)CCCC(=O)N(C)C)CSC1,,,,,,ZINCp6000015MdZF,1
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1cccc(Cl)c1C,,,,,,ZINCnI00000llstf,1
,,CC[C@H](C)C[C@@H](C)C(=O)NCC[C@@H]1CCCN(C(=O)C2(OC)CC2)C1,,,,,,ZINCpz000005RGSW,1
,,C=CC1CC(N=c2[nH]c(N3CCN(C)CC3)nc3c2COCC3)C1,,,,,,ZINCom00000t6fIE,1
,,Cc1ccc(C#N)cc1NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]1CCO1,,,,,,ZINCo500000HFAho,1
,,COC[C@@H](C)C(=O)N1CCC[C@@H](CC(=O)NCCOC(C)=O)CC1,,,,,,ZINCof00000HT9Ig,1
,,C=CCCCCC(=O)N[C@@H](CC1CCC1)C(=O)N1CCSC[C@@H](C)C1,,,,,,ZINCpG00000sVrF1,1
