model_name,split_type,RMSE_mean,RMSE_sd,RMSE_n,MAE_mean,MAE_sd,MAE_n,CI_mean,CI_sd,CI_n,Pearson_mean,Pearson_sd,Pearson_n,Spearman_mean,Spearman_sd,Spearman_n
abl_base,standard,0.416894,0.026110,3,0.253089,0.022615,3,0.863300,0.011315,3,0.871551,0.017273,3,0.851576,0.016577,3
abl_base,scaffold,0.735043,0.019527,3,0.465610,0.018561,3,0.766892,0.019609,3,0.694464,0.035457,3,0.667073,0.046622,3
abl_no_fusion,standard,0.456144,0.007465,3,0.295846,0.005830,3,0.859616,0.005476,3,0.869404,0.005960,3,0.848626,0.009900,3
abl_no_fusion,scaffold,0.765675,0.046007,3,0.511518,0.037619,3,0.752949,0.015449,3,0.686072,0.004599,3,0.641893,0.033542,3
abl_no_ranking,standard,0.418509,0.022458,3,0.251367,0.017596,3,0.863392,0.009620,3,0.870230,0.013856,3,0.851599,0.015145,3
abl_no_ranking,scaffold,0.722287,0.046198,3,0.467337,0.040900,3,0.765776,0.030152,3,0.697394,0.053017,3,0.667783,0.067358,3
abl_no_diffusion,standard,0.463689,0.011186,3,0.302266,0.006946,3,0.858186,0.005697,3,0.869591,0.006654,3,0.845353,0.009205,3
abl_no_diffusion,scaffold,0.741208,0.017286,3,0.496824,0.024859,3,0.769106,0.024267,3,0.716849,0.019383,3,0.674100,0.050549,3
abl_full,standard,0.476133,0.019189,3,0.305562,0.009047,3,0.856214,0.009780,3,0.858458,0.015051,3,0.837589,0.020306,3
abl_full,scaffold,0.760801,0.035821,3,0.503979,0.024454,3,0.761468,0.030753,3,0.690914,0.046515,3,0.656036,0.070145,3
