Metric,Mean,Median,SD
Residue Contact Auroc,0.5852289316527187,0.6041666666666667,0.1277127203982285
Atom Contact Auroc,0.038461538461538464,0.0,0.08600261451922268
Residue Topk Overlap,0.11193646996278575,0.10526315789473684,0.05920130266033972
Atom Topk Overlap,0.9923076923076923,1.0,0.017200522903844526
Residue Mask Signal,-0.11494255065917969,-0.006535530090332031,0.5074194888592379
Atom Mask Signal,-0.07546443939208984,-0.19402122497558594,1.0118247141126901
