Method,AUROC,AUROC CI low,AUROC CI high,AUPRC,AUPRC CI low,AUPRC CI high,BEDROC20,BEDROC20 CI low,BEDROC20 CI high,EF1%,EF5%,Recovery@5%,Recovery@5% CI low,Recovery@5% CI high,Recovery@10%,Recovery@10% CI low,Recovery@10% CI high
Interpolation path,0.8152243401759531,0.7899387191248708,0.8380709786420744,0.5378427572126806,0.48846865233797065,0.5886106150585921,0.6774359367624446,0.6201396408787178,0.736319180884639,6.865102639296188,5.526989412992694,0.2785923753665689,0.235375341997264,0.31602334370831475,0.3812316715542522,0.3341891891891892,0.42013973950677774
Latent nearest anchor,0.7957903225806451,0.7709469790930686,0.8200341464853779,0.5091643790202903,0.45800644906570676,0.5576213079863795,0.6521799373388476,0.5821690278451115,0.7057917385657839,6.865102639296188,5.294274069287739,0.2668621700879765,0.22286402253418744,0.2981816693944353,0.3519061583577713,0.30883727186193766,0.40030701754385967
Predicted affinity,0.9494948680351907,0.9295522234033919,0.9674577939843567,0.925026341265303,0.9020072426744589,0.9468430544897213,0.9756959344073511,0.9672570766592701,0.9832896951605573,6.865102639296188,6.865102639296189,0.3460410557184751,0.3117368876603705,0.385024270294437,0.6774193548387096,0.6149692978214922,0.7472032922579039
Nearest-anchor ECFP,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.000000000000009,1.000000000000009,1.0000000000000095,6.865102639296188,6.865102639296189,0.3460410557184751,0.3172043010752688,0.3800637900632714,0.6891495601173021,0.6317204301075269,0.7569067005497354
Anchor-centroid ECFP,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,1.000000000000009,1.000000000000009,1.0000000000000095,6.865102639296188,6.865102639296189,0.3460410557184751,0.3159098077446918,0.37942122186495175,0.6891495601173021,0.6291424137288354,0.7556270096463023
